Material Quantity (gm),Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Refined Aggregator,Formulation Duration (hrs),Compression Strength MPa,Material Quantity (gm),Refined Aggregator,Additive Catalyst (gm),Ash Component (gm),Water Mix (ml),Plasticizer (gm),Moderate Aggregator,Formulation Duration (hrs),Material Quantity (gm)^2,Material Quantity (gm) Refined Aggregator,Material Quantity (gm) Additive Catalyst (gm),Material Quantity (gm) Ash Component (gm),Material Quantity (gm) Water Mix (ml),Material Quantity (gm) Plasticizer (gm),Material Quantity (gm) Moderate Aggregator,Material Quantity (gm) Formulation Duration (hrs),Refined Aggregator^2,Refined Aggregator Additive Catalyst (gm),Refined Aggregator Ash Component (gm),Refined Aggregator Water Mix (ml),Refined Aggregator Plasticizer (gm),Refined Aggregator Moderate Aggregator,Refined Aggregator Formulation Duration (hrs),Additive Catalyst (gm)^2,Additive Catalyst (gm) Ash Component (gm),Additive Catalyst (gm) Water Mix (ml),Additive Catalyst (gm) Plasticizer (gm),Additive Catalyst (gm) Moderate Aggregator,Additive Catalyst (gm) Formulation Duration (hrs),Ash Component (gm)^2,Ash Component (gm) Water Mix (ml),Ash Component (gm) Plasticizer (gm),Ash Component (gm) Moderate Aggregator,Ash Component (gm) Formulation Duration (hrs),Water Mix (ml)^2,Water Mix (ml) Plasticizer (gm),Water Mix (ml) Moderate Aggregator,Water Mix (ml) Formulation Duration (hrs),Plasticizer (gm)^2,Plasticizer (gm) Moderate Aggregator,Plasticizer (gm) Formulation Duration (hrs),Moderate Aggregator^2,Moderate Aggregator Formulation Duration (hrs),Formulation Duration (hrs)^2
486.42,180.6,21.26,201.66,16.11,1151.17,708.5,344.43,79.89,486.42,708.5,180.6,21.26,201.66,16.11,1151.17,344.43,236604.41640000002,344628.57,87847.452,10341.289200000001,98091.4572,7836.2262,559952.1114,167537.6406,501972.25,127955.09999999999,15062.710000000001,142876.11,11413.935,815603.9450000001,244028.655,32616.359999999997,3839.556,36419.795999999995,2909.466,207901.302,62204.058,451.98760000000004,4287.2916000000005,342.4986,24473.874200000002,7322.581800000001,40666.7556,3248.7426,232144.94220000002,69457.7538,259.53209999999996,18545.348700000002,5548.7672999999995,1325192.3689000001,396497.4831,118632.0249
133.32,260.14,185.6,175.99,6.27,1090.57,1010.25,28.86,59.8,133.32,1010.25,260.14,185.6,175.99,6.27,1090.57,28.86,17774.2224,134686.53,34681.864799999996,24744.192,23462.9868,835.9164,145394.79239999998,3847.6151999999997,1020605.0625,262806.435,187502.4,177793.89750000002,6334.2675,1101748.3425,29155.815,67672.81959999999,48281.984,45782.0386,1631.0777999999998,283700.8798,7507.640399999999,34447.36,32663.744000000002,1163.712,202409.792,5356.416,30972.480100000004,1103.4573,191929.4143,5079.0714,39.31289999999999,6837.873899999999,180.95219999999998,1189342.9248999998,31473.850199999997,832.8996
559.97,2.84,111.76,295.23,11.95,1024.93,810.69,237.68,77.86,559.97,810.69,2.84,111.76,295.23,11.95,1024.93,237.68,313566.4009,453962.07930000004,1590.3148,62582.247200000005,165319.9431,6691.6415,573930.0521000001,133093.66960000002,657218.2761000001,2302.3596000000002,90602.71440000001,239340.00870000003,9687.7455,830900.5017000001,192684.7992,8.0656,317.3984,838.4532,33.937999999999995,2910.8012,675.0112,12490.297600000002,32994.904800000004,1335.532,114546.17680000002,26563.116800000003,87160.7529,3527.9985,302590.0839,70170.26640000001,142.80249999999998,12247.9135,2840.276,1050481.5049,243605.3624,56491.782400000004
391.43,351.05,76.39,299.14,19.0,1134.88,881.34,208.81,71.74,391.43,881.34,351.05,76.39,299.14,19.0,1134.88,208.81,153217.4449,344982.91620000004,137411.5015,29901.3377,117092.37019999999,7437.17,444226.07840000006,81734.4983,776760.1956000001,309394.407,67325.5626,263644.0476,16745.46,1000215.1392000001,184032.6054,123236.10250000001,26816.7095,105013.097,6669.95,398399.62400000007,73302.75050000001,5835.4321,22851.3046,1451.41,86693.4832,15950.9959,89484.73959999999,5683.66,339488.00320000004,62463.4234,361.0,21562.72,3967.39,1287952.6144000003,236974.29280000002,43601.6161
394.78,352.61,194.35,235.54,17.02,1098.24,781.01,266.84,76.07,394.78,781.01,352.61,194.35,235.54,17.02,1098.24,266.84,155851.24839999998,308327.12779999996,139203.3758,76725.49299999999,92986.4812,6719.155599999999,433563.1872,105343.09519999998,609976.6201,275391.9361,151789.2935,183959.0954,13292.7902,857736.4224,208404.70839999997,124333.81210000001,68529.7535,83053.7594,6001.4222,387250.40640000004,94090.4524,37771.9225,45777.199,3307.837,213442.944,51860.35399999999,55479.0916,4008.8907999999997,258679.4496,62851.493599999994,289.68039999999996,18692.0448,4541.6168,1206131.0976,293054.3616,71203.58559999999
245.92,25.23,211.33,189.96,10.48,1056.28,1001.52,274.82,51.7,245.92,1001.52,25.23,211.33,189.96,10.48,1056.28,274.82,60476.64639999999,246293.79839999997,6204.5616,51970.2736,46714.9632,2577.2416,259760.37759999998,67583.7344,1003042.3104,25268.3496,211651.22160000002,190248.7392,10495.9296,1057885.5455999998,275237.7264,636.5529,5331.8559000000005,4792.6908,264.41040000000004,26649.9444,6933.7086,44660.36890000001,40144.2468,2214.7384,223223.65240000002,58077.7106,36084.801600000006,1990.7808000000002,200650.9488,52204.8072,109.83040000000001,11069.8144,2880.1136,1115727.4383999999,290286.8696,75526.0324
331.51,94.86,227.05,259.44,38.95,1115.11,708.91,41.99,68.67,331.51,708.91,94.86,227.05,259.44,38.95,1115.11,41.99,109898.8801,235010.7541,31447.0386,75269.3455,86006.9544,12912.3145,369670.1161,13920.1049,502553.3881,67247.20259999999,160958.0155,183919.61039999998,27612.0445,790512.6301,29767.1309,8998.4196,21537.963,24610.4784,3694.797,105779.33459999999,3983.1714,51551.70250000001,58905.852,8843.597500000002,253185.7255,9533.829500000002,67309.1136,10105.188,289304.1384,10893.8856,1517.1025000000002,43433.5345,1635.5105,1243470.3120999997,46823.4689,1763.1601
537.06,245.85,20.52,296.79,16.65,1032.57,824.26,375.16,48.57,537.06,824.26,245.85,20.52,296.79,16.65,1032.57,375.16,288433.44359999994,442677.0755999999,132036.20099999997,11020.471199999998,159394.0374,8942.048999999999,554552.0441999999,201483.4296,679404.5475999999,202644.321,16913.8152,244632.12540000002,13723.928999999998,851106.1481999999,309229.3816,60442.222499999996,5044.842,72965.8215,4093.4024999999997,253857.33449999997,92233.08600000001,421.0704,6090.1308,341.65799999999996,21188.336399999997,7698.283200000001,88084.30410000001,4941.5535,306456.4503,111343.73640000001,277.22249999999997,17192.2905,6246.414,1066200.8048999999,387378.9612,140745.02560000002
568.21,427.81,225.92,259.54,6.83,1023.44,793.66,233.78,62.12,568.21,793.66,427.81,225.92,259.54,6.83,1023.44,233.78,322862.60410000006,450965.54860000004,243085.92010000002,128370.0032,147473.22340000002,3880.8743000000004,581528.8424000001,132836.1338,629896.1956,339535.6846,179303.6672,205986.51640000002,5420.6978,812263.3904,185541.83479999998,183021.3961,96650.8352,111033.8074,2921.9423,437837.8664,100013.4218,51039.846399999995,58635.2768,1543.0336,231215.5648,52815.5776,67361.01160000001,1772.6582,265623.61760000006,60675.26120000001,46.6489,6990.095200000001,1596.7174,1047429.4336000001,239259.80320000002,54653.0884
392.0,246.86,165.39,253.75,3.56,864.96,995.81,109.27,70.05,392.0,995.81,246.86,165.39,253.75,3.56,864.96,109.27,153664.0,390357.51999999996,96769.12000000001,64832.88,99470.0,1395.52,339064.32,42833.84,991637.5560999999,245825.6566,164697.01589999997,252686.78749999998,3545.0836,861335.8176,108812.15869999999,60939.8596,40828.1754,62640.725000000006,878.8216000000001,213524.02560000002,26974.392200000002,27353.852099999996,41967.712499999994,588.7883999999999,143055.7344,18072.165299999997,64389.0625,903.35,219483.6,27727.2625,12.6736,3079.2576000000004,389.0012,748155.8016,94514.1792,11939.9329
